Ugyfel_kod;Ugyfel_szegmens;Ugyfel_nev;Ugyfel_lakhely;Ugyfel_jovedelem;Ugyfel_netto_arbe;Ugyfel_minosites;Hitel_Szamlaszam;Hitel_devizanem_kod;Hitel_ind_datum;Hitel_lej_datum;hitel_egyenleg_osszeg;hitel_torlesztes_osszeg;hitel_thm;hitel_szerzodes_osszeg;fedezet_kod;fedezet_tipus;fedezet_osszeg;fedezet_devizanem;fedezet_ind_datum;fedezet_leja_datum
6967;L;Nagy;Egyeb;1600000;;3;12345678-12345678-00000231;EUR;2017. 07. 30.;2037. 07. 01.;9555550;70831,3;0,06;10000000;263;ALL_GAR;1000000;EUR;2017. 07. 30.;2037. 07. 01.
7289;V;Szabo7289 Kft;Megyeszekhely;;19000000;5;12345678-12345678-00000006;HUF;2016. 09. 16.;2036. 09. 01.;7452910;56665,1;0,06;8000000;7;INGATLAN;9600000;HUF;2016. 09. 16.;
7289;V;Szabo7289 Kft;Megyeszekhely;;19000000;5;12345678-12345678-00000006;HUF;2016. 09. 16.;2036. 09. 01.;7452910;56665,1;0,06;8000000;8;ALL_GAR;800000;HUF;2016. 09. 16.;2036. 09. 01.
7289;V;Szabo7289 Kft;Megyeszekhely;;19000000;5;12345678-12345678-00000006;HUF;2016. 09. 16.;2036. 09. 01.;7452910;56665,1;0,06;8000000;9;BANK_GAR;1330000;HUF;2016. 09. 16.;
7289;V;Szabo7289 Kft;Megyeszekhely;;19000000;5;12345678-12345678-00000006;HUF;2016. 09. 16.;2036. 09. 01.;7452910;56665,1;0,06;8000000;10;LETET;4550000;HUF;2016. 09. 16.;2020. 08. 27.
5119;L;Szabo;Egyeb;1200000;;2;12345678-12345678-00000009;EUR;2017. 06. 07.;2037. 06. 01.;5707250;42409,4;0,06;6000000;11;INGATLAN;7200000;HUF;2017. 06. 07.;
5119;L;Szabo;Egyeb;1200000;;2;12345678-12345678-00000009;EUR;2017. 06. 07.;2037. 06. 01.;5707250;42409,4;0,06;6000000;12;ALL_GAR;600000;HUF;2017. 06. 07.;2037. 06. 01.
5119;L;Szabo;Egyeb;1200000;;2;12345678-12345678-00000009;EUR;2017. 06. 07.;2037. 06. 01.;5707250;42409,4;0,06;6000000;13;BANK_GAR;620000;HUF;2017. 06. 07.;
9475;V;Kovacs9475 Kft;Budapest;;14000000;3;12345678-12345678-00000012;EUR;2018. 10. 10.;2038. 10. 01.;10859400;77750,6;0,06;11000000;17;INGATLAN;13200000;EUR;2018. 10. 10.;
9475;V;Kovacs9475 Kft;Budapest;;14000000;3;12345678-12345678-00000012;EUR;2018. 10. 10.;2038. 10. 01.;10859400;77750,6;0,06;11000000;18;ALL_GAR;1100000;EUR;2018. 10. 10.;2038. 10. 01.
9180;L;Szabo;Egyeb;2000000;;3;12345678-12345678-00000015;HUF;2016. 10. 10.;2036. 10. 01.;6524680;49477,6;0,06;7000000;19;INGATLAN;8400000;HUF;2016. 10. 10.;
9180;L;Szabo;Egyeb;2000000;;3;12345678-12345678-00000015;HUF;2016. 10. 10.;2036. 10. 01.;6524680;49477,6;0,06;7000000;20;ALL_GAR;700000;EUR;2016. 10. 10.;2036. 10. 01.
8178;L;Kovacs;Budapest;1900000;;3;12345678-12345678-00000021;USD;2016. 12. 01.;2036. 12. 01.;8432520;63614,1;0,06;9000000;23;INGATLAN;10800000;USD;2016. 12. 01.;
8178;L;Kovacs;Budapest;1900000;;3;12345678-12345678-00000021;USD;2016. 12. 01.;2036. 12. 01.;8432520;63614,1;0,06;9000000;24;ALL_GAR;900000;USD;2016. 12. 01.;2036. 12. 01.
8178;L;Kovacs;Budapest;1900000;;3;12345678-12345678-00000021;USD;2016. 12. 01.;2036. 12. 01.;8432520;63614,1;0,06;9000000;25;BANK_GAR;7880000;HUF;2016. 12. 01.;
8178;L;Kovacs;Budapest;1900000;;3;12345678-12345678-00000021;USD;2016. 12. 01.;2036. 12. 01.;8432520;63614,1;0,06;9000000;26;KEZESSEG;7350000;HUF;2016. 12. 01.;
8178;L;Kovacs;Budapest;1900000;;3;12345678-12345678-00000021;USD;2016. 12. 01.;2036. 12. 01.;8432520;63614,1;0,06;9000000;27;LETET;3400000;HUF;2016. 12. 01.;2021. 03. 15.
7027;V;Kiss7027 Kft;Egyeb;;16000000;3;12345678-12345678-00000027;HUF;2016. 10. 09.;2036. 10. 01.;13049400;98955,3;0,06;14000000;29;INGATLAN;16800000;HUF;2016. 10. 09.;
7027;V;Kiss7027 Kft;Egyeb;;16000000;3;12345678-12345678-00000027;HUF;2016. 10. 09.;2036. 10. 01.;13049400;98955,3;0,06;14000000;30;ALL_GAR;1400000;HUF;2016. 10. 09.;2036. 10. 01.
7027;V;Kiss7027 Kft;Egyeb;;16000000;3;12345678-12345678-00000027;HUF;2016. 10. 09.;2036. 10. 01.;13049400;98955,3;0,06;14000000;31;LETET;4130000;HUF;2016. 10. 09.;2020. 04. 22.
7027;V;Kiss7027 Kft;Egyeb;;16000000;3;12345678-12345678-00000027;HUF;2016. 10. 09.;2036. 10. 01.;13049400;98955,3;0,06;14000000;32;KEZESSEG;620000;HUF;2016. 10. 09.;
7027;V;Kiss7027 Kft;Egyeb;;16000000;3;12345678-12345678-00000027;HUF;2016. 10. 09.;2036. 10. 01.;13049400;98955,3;0,06;14000000;33;LETET;4870000;HUF;2016. 10. 09.;2020. 08. 07.
446;V;Nagy446 Kft;Budapest;;17000000;3;12345678-12345678-00000033;HUF;2018. 01. 05.;2038. 01. 01.;7738540;56545,9;0,06;8000000;37;INGATLAN;9600000;HUF;2018. 01. 05.;
446;V;Nagy446 Kft;Budapest;;17000000;3;12345678-12345678-00000033;HUF;2018. 01. 05.;2038. 01. 01.;7738540;56545,9;0,06;8000000;38;ALL_GAR;800000;HUF;2018. 01. 05.;2038. 01. 01.
446;V;Nagy446 Kft;Budapest;;17000000;3;12345678-12345678-00000033;HUF;2018. 01. 05.;2038. 01. 01.;7738540;56545,9;0,06;8000000;39;BANK_GAR;640000;HUF;2018. 01. 05.;
6588;L;Nagy;Egyeb;1800000;;3;12345678-12345678-00000036;USD;2017. 02. 25.;2037. 02. 01.;9437330;70831,3;0,06;10000000;40;INGATLAN;12000000;USD;2017. 02. 25.;
6588;L;Nagy;Egyeb;1800000;;3;12345678-12345678-00000036;USD;2017. 02. 25.;2037. 02. 01.;9437330;70831,3;0,06;10000000;41;ALL_GAR;1000000;USD;2017. 02. 25.;2037. 02. 01.
6588;L;Nagy;Egyeb;1800000;;3;12345678-12345678-00000036;USD;2017. 02. 25.;2037. 02. 01.;9437330;70831,3;0,06;10000000;42;KEZESSEG;5960000;HUF;2017. 02. 25.;
6588;L;Nagy;Egyeb;1800000;;3;12345678-12345678-00000036;USD;2017. 02. 25.;2037. 02. 01.;9437330;70831,3;0,06;10000000;43;KEZESSEG;2970000;HUF;2017. 02. 25.;
6588;L;Nagy;Egyeb;1800000;;3;12345678-12345678-00000036;USD;2017. 02. 25.;2037. 02. 01.;9437330;70831,3;0,06;10000000;44;KEZESSEG;3310000;HUF;2017. 02. 25.;
7553;V;Kovacs7553 Kft;Megyeszekhely;;17000000;2;12345678-12345678-00000042;EUR;2018. 02. 23.;2038. 02. 01.;7772940;56665,1;0,06;8000000;46;INGATLAN;9600000;HUF;2018. 02. 23.;
7553;V;Kovacs7553 Kft;Megyeszekhely;;17000000;2;12345678-12345678-00000042;EUR;2018. 02. 23.;2038. 02. 01.;7772940;56665,1;0,06;8000000;47;ALL_GAR;800000;HUF;2018. 02. 23.;2038. 02. 01.
7553;V;Kovacs7553 Kft;Megyeszekhely;;17000000;2;12345678-12345678-00000042;EUR;2018. 02. 23.;2038. 02. 01.;7772940;56665,1;0,06;8000000;48;BANK_GAR;7710000;HUF;2018. 02. 23.;
7553;V;Kovacs7553 Kft;Megyeszekhely;;17000000;2;12345678-12345678-00000042;EUR;2018. 02. 23.;2038. 02. 01.;7772940;56665,1;0,06;8000000;49;KEZESSEG;5330000;HUF;2018. 02. 23.;
7553;V;Kovacs7553 Kft;Megyeszekhely;;17000000;2;12345678-12345678-00000042;EUR;2018. 02. 23.;2038. 02. 01.;7772940;56665,1;0,06;8000000;50;KEZESSEG;3880000;HUF;2018. 02. 23.;
9469;L;Nagy;Varos;1200000;;5;12345678-12345678-00000045;EUR;2018. 05. 27.;2038. 05. 01.;12718300;92080,7;0,06;13000000;51;INGATLAN;15600000;EUR;2018. 05. 27.;
9469;L;Nagy;Varos;1200000;;5;12345678-12345678-00000045;EUR;2018. 05. 27.;2038. 05. 01.;12718300;92080,7;0,06;13000000;52;ALL_GAR;1300000;EUR;2018. 05. 27.;2038. 05. 01.
9469;L;Nagy;Varos;1200000;;5;12345678-12345678-00000045;EUR;2018. 05. 27.;2038. 05. 01.;12718300;92080,7;0,06;13000000;53;BANK_GAR;7880000;HUF;2018. 05. 27.;
